Name,Domain,Series,Deal stage,Attio Record ID
Akido,akidolabs.com,Series C,Target,4158a06b-9f6b-4cf3-9267-45377c65f55c
Blackbox,blackbox.ai,Series B,Pipeline,13fa35ba-6f18-4c4c-8c89-d153a916521b
Clay,clay.com,Series D,Pipeline,121681e8-635a-4cae-a5f6-054d6461be06
Consensus.app,consensus.app,,Pipeline,4458e1d7-a86b-4dc5-89f3-7065c8d4884d
Copperlane,copperlane.ai,Series A,Pipeline,08de78a4-ded7-4f4b-9864-3d4454c83106
Cosmic Labs,cosmiclabs.io,Series A,Pipeline,e91d068f-3947-4c16-8680-93217127dfbf
Dili,dili.com,Series A,Pipeline,a060b2a9-0c0b-4c64-aeac-1b0cc9b17e54
Draftwise,draftwise.com,,Pipeline,15aa68ae-db0e-4cec-b8b1-f716b71ef6b5
E2B,e2b.dev,Early Stage VC,Watchlist,a9a4e084-fd73-4c3d-8fac-d687955f344d
Eridu,eridu.ai,Series B,Pipeline,7a362b84-bb7e-40be-9d7c-48dad559a681
FalconX,falconx.io,Series E,Pipeline,86bdc1bf-fbab-48bc-8723-6f27f79787f5
Firecrawl,firecrawl.dev,Series B,Pipeline,7ff4aef0-b013-44d4-91c3-77bd5cc0dfd8
Fyxer AI,fyxer.com,,Pipeline,0bb1dfb3-fbdb-4a5f-831b-61ae9180b18c
Harbinger,harbingermotors.com,Series D,Pipeline,3c23d5d4-6e60-4e9c-9689-0bfce1c35422
Harmonic Security,harmonic.security,Series B,Pipeline,5e21a89b-65de-4cc1-80ff-23236aa43934
Humanly,humanly.io,Series B,Target,cf194b7e-ba15-43e4-b4a5-5e5c9d5c1a0b
ICON,iconbuild.com,Series D,Pipeline,d8b1fe0a-ed86-45a4-a16e-a13c3e0aa87c
MagicSchool,magicschool.ai,Series C,Target,a0f8e572-165f-4383-aa4f-3761d43cf4ca
Mind Robotics,mindrobotics.com,Early Stage VC,Watchlist,df3e0ee6-de32-4f37-821d-a0f1f41db4ea
ModRetro,modretro.com,Early Stage VC,Watchlist,eae5f422-c833-40bc-9e81-63647e4e53b4
Namespace,namespace.so,Series B,Pipeline,1dfdc35f-ff28-4c4f-acda-381483728e6e
Newcore,newcore.com,Series A,Pipeline,0192090f-55d9-43f8-878b-d79c10c39914
Noah Labs,noah-labs.com,Series A,Pipeline,2af2fa71-d1be-4901-98b1-60b4b18f1c5d
Numa,numa.com,Series C,Pipeline,4da15885-ab4f-46a3-a1e1-c6d5f1f4f602
Omni Analytics,omni.co,Later Stage VC,Watchlist,2c7439a0-d594-4348-a802-f18b7e2fc111
OneBrief,onebrief.com,,Pipeline,52fd92b4-e99f-4069-8c6c-24f9be0e9775
Onyx,onyx.app,Series A,Pipeline,ea2ab2b2-326e-4335-9606-b8e7910bcab7
Pallet,pallet.com,Series C,Target,70a9ef0c-f5a8-4036-8434-971c9ac3023d
Parallel,parallel.ai,Series B,Watchlist,f92b6720-cde7-4a58-955b-70542e3fcfbc
Path Robotics,path-robotics.com,Series E,Watchlist,5a7bb4bf-af4a-4b81-a61d-46e8d19f06e4
Pi Security,pi.security,Series B,Pipeline,7b5ccdfa-9f77-41d6-8360-6caaccd56179
Project Prometheus,,Early Stage VC,Watchlist,315aecae-a6fa-4598-8c0f-632cdec14ab1
Raindrop,raindrop.ai,,Pipeline,133f56eb-91f2-4a87-ad7e-fde8275d8cce
Replit,replit.com,,Invested,4fba980b-825f-4442-a429-c09b194d82dc
Silicondata,silicondata.com,Series A,Pipeline,d3a6f7b5-c5b0-40c6-a1e0-4ebc2ff0901b
Simile,simile.ai,Series A,Pipeline,10c847b3-2d3a-4eac-bed3-a61b5b13288e
Snorkel,snorkel.ai,Series E,Pipeline,95b6fe3d-9f33-4d86-ba7a-14b803cd857a
Sunbeam,withsunbeam.com,Series B,Pipeline,f53d0df4-8fa1-4805-b64b-e9e18a9558af
Supio,supio.com,Series B,Target,14dcb19a-8177-4507-a0fb-186a2cda81ef
Tavily,tavily.com,,Pipeline,2cc41596-9c92-43ef-be36-56e148a516ac
Taxfyle,taxfyle.com,Series B,Pipeline,6285f7b0-9f12-4239-bfe7-3fb8afe24ed9
Tenkara Labs,tenkara.ai,Series A,Pipeline,38df87ff-ff1c-4620-a2e8-e30aa21af702
Together AI,together.ai,,Invested,650055f1-7ae5-46b9-8ec8-176864587bca
Trajectory,trajectory.ai,Series A,Pipeline,7f33bd08-7732-48b7-b9c9-047ebe598823
Vapi,vapi.ai,,Qualified,41195741-98ba-4f3c-a8de-70353cb4e066
Walden Robotics,waldenrobotics.com,Seed,Pipeline,2674918a-71cc-4e33-b884-d16ac3c3b026
Wonderful AI,wonderful.ai,,Pipeline,d065c96a-c8d4-45c8-8ebc-cfc0ca0731a0
Xbow,xbow.com,Series B,Target,7bba9403-9faf-4de9-bfce-e22d862fc0d3
